#progeny
#Accession
t18-or-40-9427	T18-OR-40-9427
t19-10-19-9435	T19-10-19-9435
t19-10-19-9435	T19-10-19-9435
t19-10-19-9435	T19-10-19-9435
t19-10-2-9435	T19-10-2-9435
t19-10-2-9435	T19-10-2-9435
t19-10-2-9435	T19-10-2-9435
t19-10-2-9435	T19-10-2-9435
t19-10-2-9435	T19-10-2-9435
t19-10-44-9435	T19-10-44-9435
t19-10-44-9435	T19-10-44-9435
t19-10-44-9435	T19-10-44-9435
t19-10-44-9435	T19-10-44-9435
t19-10-70-9435	T19-10-70-9435
t19-10-70-9435	T19-10-70-9435
t19-11-99-9417	T19-11-99-9417
t19-11-99-9417	T19-11-99-9417
t19-11-99-9417	T19-11-99-9417
t19-11-99-9417	T19-11-99-9417
t19-11-99-9417	T19-11-99-9417
t19-11-99-9417	T19-11-99-9417
t19-11-99-9417	T19-11-99-9417
t19-14-89-9427	T19-14-89-9427
t19-14-89-9427	T19-14-89-9427
t19-14-89-9427	T19-14-89-9427
t19-14-89-9427	T19-14-89-9427
t19-14-89-9427	T19-14-89-9427
t19-14-89-9427	T19-14-89-9427
t19-16-110-9427	T19-16-110-9427
t19-16-110-9427	T19-16-110-9427
t19-16-110-9427	T19-16-110-9427
t19-16-110-9427	T19-16-110-9427
t19-16-110-9427	T19-16-110-9427
t19-17-15-9427	T19-17-15-9427
t19-17-15-9427	T19-17-15-9427
t19-17-15-9427	T19-17-15-9427
t19-17-15-9427	T19-17-15-9427
t19-17-15-9427	T19-17-15-9427
t19-17-15-9427	T19-17-15-9427
t19-17-1-9427	T19-17-1-9427
t19-17-1-9427	T19-17-1-9427
t19-17-1-9427	T19-17-1-9427
t19-17-1-9427	T19-17-1-9427
t19-17-1-9427	T19-17-1-9427
t19-17-1-9427	T19-17-1-9427
t19-17-91-9427	T19-17-91-9427
t19-17-91-9427	T19-17-91-9427
t19-20-2-9435	T19-20-2-9435
t19-21-101-9427	T19-21-101-9427
t19-21-101-9427	T19-21-101-9427
t19-22-15-9427	T19-22-15-9427
t19-22-4-9427	T19-22-4-9427
t19-22-4-9427	T19-22-4-9427
t19-22-4-9427	T19-22-4-9427
t19-22-4-9427	T19-22-4-9427
t19-22-4-9427	T19-22-4-9427
t19-22-4-9427	T19-22-4-9427
t19-24-3-9427	T19-24-3-9427
t19-24-3-9427	T19-24-3-9427
t19-24-3-9427	T19-24-3-9427
t19-24-3-9427	T19-24-3-9427
t19-24-3-9427	T19-24-3-9427
t19-24-3-9427	T19-24-3-9427
t19-25-21-9427	T19-25-21-9427
t19-25-21-9427	T19-25-21-9427
t19-25-66-9427	T19-25-66-9427
t19-25-66-9427	T19-25-66-9427
t19-25-66-9427	T19-25-66-9427
t19-25-66-9427	T19-25-66-9427
t19-26-4-9402	T19-26-4-9402
t19-26-4-9402	T19-26-4-9402
